FECHA;CLASE;DIA_NOMBRE;PERIODO;FESTIVO;NAVIDAD;SEMSANTA;ESCOLAR;ACCIDENTES
2019-02-09;INCENDIO;SABADO;2019;No;No;No;No;1
2019-02-09;OTRO;SABADO;2019;No;No;No;No;13
2019-02-09;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-02-10;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-02-10;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-02-10;CHOQUE;DOMINGO;2019;No;No;No;No;52
2019-02-10;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-02-10;OTRO;DOMINGO;2019;No;No;No;No;9
2019-02-10;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-02-11;ATROPELLO;LUNES;2019;No;No;No;No;12
2019-02-11;CAIDA OCUPANTE;LUNES;2019;No;No;No;No;11
2019-02-11;CHOQUE;LUNES;2019;No;No;No;No;81
2019-02-11;INCENDIO;LUNES;2019;No;No;No;No;1
2019-02-11;OTRO;LUNES;2019;No;No;No;No;13
2019-02-11;VOLCAMIENTO;LUNES;2019;No;No;No;No;4
2019-02-12;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-02-12;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-02-12;CHOQUE;MARTES;2019;No;No;No;No;86
2019-02-12;INCENDIO;MARTES;2019;No;No;No;No;1
2019-02-12;OTRO;MARTES;2019;No;No;No;No;14
2019-02-12;VOLCAMIENTO;MARTES;2019;No;No;No;No;4
2019-02-13;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-02-13;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-02-13;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-02-13;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-02-13;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-02-13;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-02-14;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-02-14;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-02-14;CHOQUE;JUEVES;2019;No;No;No;No;84
2019-02-14;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-02-14;OTRO;JUEVES;2019;No;No;No;No;14
2019-02-14;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-02-15;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-02-15;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-02-15;CHOQUE;VIERNES;2019;No;No;No;No;87
2019-02-15;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-02-15;OTRO;VIERNES;2019;No;No;No;No;14
2019-02-15;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-02-16;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-02-16;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-02-16;CHOQUE;SABADO;2019;No;No;No;No;79
2019-02-16;INCENDIO;SABADO;2019;No;No;No;No;1
2019-02-16;OTRO;SABADO;2019;No;No;No;No;13
2019-02-16;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-02-17;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-02-17;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-02-17;CHOQUE;DOMINGO;2019;No;No;No;No;53
2019-02-17;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-02-17;OTRO;DOMINGO;2019;No;No;No;No;9
2019-02-17;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-02-18;ATROPELLO;LUNES;2019;No;No;No;No;12
2019-02-18;CAIDA OCUPANTE;LUNES;2019;No;No;No;No;11
2019-02-18;CHOQUE;LUNES;2019;No;No;No;No;81
2019-02-18;INCENDIO;LUNES;2019;No;No;No;No;1
2019-02-18;OTRO;LUNES;2019;No;No;No;No;13
2019-02-18;VOLCAMIENTO;LUNES;2019;No;No;No;No;4
2019-02-19;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-02-19;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-02-19;CHOQUE;MARTES;2019;No;No;No;No;86
2019-02-19;INCENDIO;MARTES;2019;No;No;No;No;1
2019-02-19;OTRO;MARTES;2019;No;No;No;No;14
2019-02-19;VOLCAMIENTO;MARTES;2019;No;No;No;No;4
2019-02-20;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-02-20;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-02-20;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-02-20;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-02-20;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-02-20;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-02-21;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-02-21;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-02-21;CHOQUE;JUEVES;2019;No;No;No;No;84
2019-02-21;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-02-21;OTRO;JUEVES;2019;No;No;No;No;14
2019-02-21;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-02-22;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-02-22;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-02-22;CHOQUE;VIERNES;2019;No;No;No;No;88
