FECHA,CLASE,total_accidentes,MES,FESTIVO,MADRE,NAVIDAD,BRUJITOS,SEMSANTA,ESCOLAR,DIA_NOMBRE,SEMANA,PERIODO
2019-02-11,ATROPELLO,5,02,No,No,No,No,No,No,LUNES,6,2019
2019-02-11,CAIDA OCUPANTE,9,02,No,No,No,No,No,No,LUNES,6,2019
2019-02-11,CHOQUE,39,02,No,No,No,No,No,No,LUNES,6,2019
2019-02-11,OTRO,3,02,No,No,No,No,No,No,LUNES,6,2019
2019-02-11,VOLCAMIENTO,2,02,No,No,No,No,No,No,LUNES,6,2019
2019-02-12,ATROPELLO,8,02,No,No,No,No,No,No,MARTES,7,2019
2019-02-12,CAIDA OCUPANTE,18,02,No,No,No,No,No,No,MARTES,7,2019
2019-02-12,CHOQUE,78,02,No,No,No,No,No,No,MARTES,7,2019
2019-02-12,OTRO,25,02,No,No,No,No,No,No,MARTES,7,2019
2019-02-12,VOLCAMIENTO,15,02,No,No,No,No,No,No,MARTES,7,2019
2019-02-13,ATROPELLO,10,02,No,No,No,No,No,No,MIERCOLES,7,2019
2019-02-13,CAIDA OCUPANTE,14,02,No,No,No,No,No,No,MIERCOLES,7,2019
2019-02-13,CHOQUE,112,02,No,No,No,No,No,No,MIERCOLES,7,2019
2019-02-13,OTRO,12,02,No,No,No,No,No,No,MIERCOLES,7,2019
2019-02-13,VOLCAMIENTO,4,02,No,No,No,No,No,No,MIERCOLES,7,2019
2019-02-14,ATROPELLO,13,02,No,No,No,No,No,No,JUEVES,7,2019
2019-02-14,CAIDA OCUPANTE,7,02,No,No,No,No,No,No,JUEVES,7,2019
2019-02-14,CHOQUE,93,02,No,No,No,No,No,No,JUEVES,7,2019
2019-02-14,OTRO,11,02,No,No,No,No,No,No,JUEVES,7,2019
2019-02-14,VOLCAMIENTO,4,02,No,No,No,No,No,No,JUEVES,7,2019
2019-02-15,ATROPELLO,9,02,No,No,No,No,No,No,VIERNES,7,2019
2019-02-15,CAIDA OCUPANTE,9,02,No,No,No,No,No,No,VIERNES,7,2019
2019-02-15,CHOQUE,88,02,No,No,No,No,No,No,VIERNES,7,2019
2019-02-15,OTRO,10,02,No,No,No,No,No,No,VIERNES,7,2019
2019-02-15,VOLCAMIENTO,3,02,No,No,No,No,No,No,VIERNES,7,2019
2019-02-16,ATROPELLO,11,02,No,No,No,No,No,No,SABADO,7,2019
2019-02-16,CAIDA OCUPANTE,10,02,No,No,No,No,No,No,SABADO,7,2019
2019-02-16,CHOQUE,101,02,No,No,No,No,No,No,SABADO,7,2019
2019-02-16,OTRO,12,02,No,No,No,No,No,No,SABADO,7,2019
2019-02-16,VOLCAMIENTO,2,02,No,No,No,No,No,No,SABADO,7,2019
2019-02-17,ATROPELLO,12,02,No,No,No,No,No,No,DOMINGO,7,2019
2019-02-17,CAIDA OCUPANTE,7,02,No,No,No,No,No,No,DOMINGO,7,2019
2019-02-17,CHOQUE,97,02,No,No,No,No,No,No,DOMINGO,7,2019
2019-02-17,OTRO,11,02,No,No,No,No,No,No,DOMINGO,7,2019
2019-02-17,VOLCAMIENTO,6,02,No,No,No,No,No,No,DOMINGO,7,2019
2019-02-18,ATROPELLO,8,02,No,No,No,No,No,No,LUNES,7,2019
2019-02-18,CAIDA OCUPANTE,9,02,No,No,No,No,No,No,LUNES,7,2019
2019-02-18,CHOQUE,41,02,No,No,No,No,No,No,LUNES,7,2019
2019-02-18,OTRO,9,02,No,No,No,No,No,No,LUNES,7,2019
2019-02-18,VOLCAMIENTO,3,02,No,No,No,No,No,No,LUNES,7,2019
2019-02-19,ATROPELLO,8,02,No,No,No,No,No,No,MARTES,8,2019
2019-02-19,CAIDA OCUPANTE,7,02,No,No,No,No,No,No,MARTES,8,2019
2019-02-19,CHOQUE,101,02,No,No,No,No,No,No,MARTES,8,2019
2019-02-19,INCENDIO,1,02,No,No,No,No,No,No,MARTES,8,2019
2019-02-19,OTRO,9,02,No,No,No,No,No,No,MARTES,8,2019
2019-02-19,VOLCAMIENTO,1,02,No,No,No,No,No,No,MARTES,8,2019
2019-02-20,ATROPELLO,13,02,No,No,No,No,No,No,MIERCOLES,8,2019
2019-02-20,CAIDA OCUPANTE,9,02,No,No,No,No,No,No,MIERCOLES,8,2019
2019-02-20,CHOQUE,87,02,No,No,No,No,No,No,MIERCOLES,8,2019
2019-02-20,OTRO,5,02,No,No,No,No,No,No,MIERCOLES,8,2019
